date,flow_rate
2012-12-01,
2012-12-02,0.8387
2012-12-03,0.8309
2012-12-04,0.8411
2012-12-05,
2012-12-06,0.7971
2012-12-07,0.7542
2012-12-08,0.7243
2012-12-09,1.4569
2012-12-10,3.3614
2012-12-11,1.4535
2012-12-12,1.5865
2012-12-13,1.3929
2012-12-14,1.1421
2012-12-15,1.0516
2012-12-16,1.2328
2012-12-17,1.4313
2012-12-18,1.2032
2012-12-19,1.0278
2012-12-20,1.4839
2012-12-21,0.9733
2012-12-22,0.9226
2012-12-23,0.8349
2012-12-24,0.81
2012-12-25,0.7928
2012-12-26,0.7539
2012-12-27,0.7424
2012-12-28,0.7121
2012-12-29,0.705
2012-12-30,0.7183
2012-12-31,0.7515
2012-11-01,0.4529
2012-11-02,1.4101
2012-11-03,3.137
2012-11-04,1.7331
2012-11-05,1.0715
2012-11-06,0.825
2012-11-07,0.6889
2012-11-08,0.7217
2012-11-09,1.6394
2012-11-10,1.3857
2012-11-11,1.3102
2012-11-12,0.7765
2012-11-13,2.198
2012-11-14,3.604
2012-11-15,2.2103
2012-11-16,2.6063
2012-11-17,1.8551
2012-11-18,1.4717
2012-11-19,1.3023
2012-11-20,1.4386
2012-11-21,1.8269
2012-11-22,1.2017
2012-11-23,1.059
2012-11-24,0.9604
2012-11-25,1.3837
2012-11-26,1.4233
2012-11-27,1.4571
2012-11-28,1.1527
2012-11-29,1.1048
2012-11-30,0.9173
2012-10-01,0.3747
2012-10-02,0.3637
2012-10-03,0.3618
2012-10-04,0.356
2012-10-05,0.35
2012-10-06,0.3554
2012-10-07,0.3581
2012-10-08,0.3611
2012-10-09,0.3659
2012-10-10,0.3501
2012-10-11,0.3327
2012-10-12,0.3312
2012-10-13,0.6607
2012-10-14,0.4608
2012-10-15,0.4215
2012-10-16,0.4005
2012-10-17,0.3957
2012-10-18,0.3889
2012-10-19,0.5459
2012-10-20,0.4152
2012-10-21,0.3942
2012-10-22,0.3841
2012-10-23,0.3722
2012-10-24,0.3546
2012-10-25,0.3491
2012-10-26,0.3547
2012-10-27,0.3481
2012-10-28,0.333
2012-10-29,0.3467
2012-10-30,0.6323
2012-10-31,0.389
2012-09-01,0.3755
2012-09-02,0.3667
2012-09-03,0.3581
2012-09-04,0.3524
2012-09-05,0.3666
2012-09-06,0.3503
2012-09-07,0.3426
2012-09-08,0.3441
2012-09-09,0.3664
2012-09-10,0.3767
2012-09-11,0.3667
2012-09-12,0.3659
2012-09-13,0.3704
2012-09-14,0.3888
2012-09-15,0.3931
2012-09-16,0.3774
2012-09-17,0.3645
2012-09-18,0.3579
2012-09-19,0.3515
2012-09-20,0.3581
2012-09-21,0.3957
2012-09-22,0.5284
2012-09-23,0.429
2012-09-24,0.4165
2012-09-25,0.4009
2012-09-26,0.463
2012-09-27,0.4494
2012-09-28,0.3929
2012-09-29,0.3728
2012-09-30,0.3716
2012-08-01,0.453
2012-08-02,0.4946
2012-08-03,0.4621
2012-08-04,0.4509
2012-08-05,0.4365
2012-08-06,0.4327
2012-08-07,0.427
2012-08-08,0.4243
2012-08-09,0.4216
2012-08-10,0.4225
2012-08-11,0.4136
2012-08-12,0.4104
2012-08-13,0.4172
2012-08-14,0.4171
2012-08-15,0.4345
2012-08-16,0.438
2012-08-17,0.4187
2012-08-18,0.4113
2012-08-19,0.4714
2012-08-20,0.42
2012-08-21,0.4068
2012-08-22,0.41
2012-08-23,0.3963
2012-08-24,0.4107
2012-08-25,0.3936
2012-08-26,0.3931
2012-08-27,0.398
2012-08-28,0.401
2012-08-29,0.4128
2012-08-30,0.4308
2012-08-31,0.3908
2012-07-01,0.5867
2012-07-02,0.5837
2012-07-03,0.574
2012-07-04,0.5691
2012-07-05,0.5679
2012-07-06,0.5679
2012-07-07,0.5565
2012-07-08,0.5439
2012-07-09,0.5373
2012-07-10,0.531
2012-07-11,0.5298
2012-07-12,0.5245
2012-07-13,0.5156
2012-07-14,0.5142
2012-07-15,0.5155
2012-07-16,0.5159
2012-07-17,0.5113
2012-07-18,0.5179
2012-07-19,0.5055
2012-07-20,0.4885
2012-07-21,0.4879
2012-07-22,0.4745
2012-07-23,0.4661
2012-07-24,0.4609
2012-07-25,0.454
2012-07-26,0.445
2012-07-27,0.4428
2012-07-28,0.4418
2012-07-29,0.4464
2012-07-30,0.44
2012-07-31,0.4296
2012-06-01,0.7735
2012-06-02,0.7718
2012-06-03,0.7623
2012-06-04,0.7477
2012-06-05,0.734
2012-06-06,0.7503
2012-06-07,0.8241
2012-06-08,1.6036
2012-06-09,0.8279
2012-06-10,
2012-06-11,
2012-06-12,0.753
2012-06-13,0.741
2012-06-14,0.7329
2012-06-15,0.7272
2012-06-16,0.7192
2012-06-17,0.6997
2012-06-18,0.6857
2012-06-19,0.6786
2012-06-20,0.672
2012-06-21,0.6657
2012-06-22,0.6648
2012-06-23,0.6586
2012-06-24,0.658
2012-06-25,0.6574
2012-06-26,0.6421
2012-06-27,0.6302
2012-06-28,0.6203
2012-06-29,0.6092
2012-06-30,0.5898
2012-05-01,
2012-05-02,0.9946
2012-05-03,0.9
2012-05-04,
2012-05-05,
2012-05-06,0.8415
2012-05-07,0.811
2012-05-08,1.0373
2012-05-09,1.7361
2012-05-10,0.9563
2012-05-11,
2012-05-12,
2012-05-13,
2012-05-14,0.8877
2012-05-15,1.7709
2012-05-16,1.8293
2012-05-17,1.2056
2012-05-18,1.2167
2012-05-19,1.1428
2012-05-20,
2012-05-21,
2012-05-22,0.9292
2012-05-23,0.9057
2012-05-24,
2012-05-25,0.855
2012-05-26,0.9372
2012-05-27,0.8969
2012-05-28,0.8303
2012-05-29,0.8103
2012-05-30,0.8021
2012-05-31,0.7805
2012-04-01,1.2832
2012-04-02,1.2076
2012-04-03,1.1587
2012-04-04,1.1274
2012-04-05,1.0789
2012-04-06,1.0373
2012-04-07,1.0329
2012-04-08,0.9983
2012-04-09,1.1398
2012-04-10,1.4865
2012-04-11,1.647
2012-04-12,1.5737
2012-04-13,1.2735
2012-04-14,1.0979
2012-04-15,1.0245
2012-04-16,2.0688
2012-04-17,1.7331
2012-04-18,1.1762
2012-04-19,1.0986
2012-04-20,1.0486
2012-04-21,0.9842
2012-04-22,0.9348
2012-04-23,1.1099
2012-04-24,1.1201
2012-04-25,
2012-04-26,
2012-04-27,
2012-04-28,
2012-04-29,
2012-04-30,
2012-03-01,
2012-03-02,
2012-03-03,
2012-03-04,
2012-03-05,
2012-03-06,
2012-03-07,
2012-03-08,
2012-03-09,
2012-03-10,
2012-03-11,
2012-03-12,
2012-03-13,
2012-03-14,
2012-03-15,
2012-03-16,
2012-03-17,
2012-03-18,
2012-03-19,
2012-03-20,1.1762
2012-03-21,1.1147
2012-03-22,1.0475
2012-03-23,1.1822
2012-03-24,1.1136
2012-03-25,2.2974
2012-03-26,1.5891
2012-03-27,1.1606
2012-03-28,1.1316
2012-03-29,3.3403
2012-03-30,1.6048
2012-03-31,1.3564
2010-06-01,0.3305
2010-06-02,0.3093
2010-06-03,0.3394
2010-06-04,0.31
2010-06-05,0.3098
2010-06-06,0.3135
2010-06-07,0.296
2010-06-08,0.31
2010-06-09,0.28
2010-06-10,
2010-06-11,
2010-06-12,
2010-06-13,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-19,
2010-06-20,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-26,
2010-06-27,
2010-06-28,
2010-06-29,
2010-06-30,
2010-05-01,0.4186
2010-05-02,0.3984
2010-05-03,0.3859
2010-05-04,0.3774
2010-05-05,0.37
2010-05-06,0.3564
2010-05-07,0.3547
2010-05-08,0.4009
2010-05-09,0.3542
2010-05-10,0.7058
2010-05-11,0.5269
2010-05-12,0.4185
2010-05-13,0.4642
2010-05-14,0.3699
2010-05-15,0.3626
2010-05-16,0.3578
2010-05-17,0.3792
2010-05-18,0.3468
2010-05-19,0.3513
2010-05-20,0.357
2010-05-21,0.348
2010-05-22,0.3559
2010-05-23,0.3507
2010-05-24,0.3438
2010-05-25,0.3443
2010-05-26,0.3312
2010-05-27,0.3662
2010-05-28,0.346
2010-05-29,0.3389
2010-05-30,0.3224
2010-05-31,0.3424
2010-04-01,0.6691
2010-04-02,0.5528
2010-04-03,0.5848
2010-04-04,
2010-04-05,0.7229
2010-04-06,0.7326
2010-04-07,1.2681
2010-04-08,0.6706
2010-04-09,0.5887
2010-04-10,
2010-04-11,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-17,
2010-04-18,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-24,
2010-04-25,0.3974
2010-04-26,0.3893
2010-04-27,0.385
2010-04-28,0.4421
2010-04-29,0.4166
2010-04-30,0.4061
2010-03-01,0.7384
2010-03-02,0.8326
2010-03-03,0.6447
2010-03-04,0.5641
2010-03-05,0.8534
2010-03-06,0.634
2010-03-07,0.5683
2010-03-08,0.4953
2010-03-09,0.4743
2010-03-10,0.434
2010-03-11,0.4281
2010-03-12,0.3776
2010-03-13,0.42
2010-03-14,0.3707
2010-03-15,0.3601
2010-03-16,0.5248
2010-03-17,1.5593
2010-03-18,0.5469
2010-03-19,0.4864
2010-03-20,0.4713
2010-03-21,0.991
2010-03-22,2.7591
2010-03-23,0.7469
2010-03-24,0.8394
2010-03-25,1.0868
2010-03-26,0.7355
2010-03-27,0.7157
2010-03-28,0.6472
2010-03-29,0.676
2010-03-30,0.5655
2010-03-31,0.5405
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-06,
